Lab,20,Bio-Tech,BT-255,Middletown
Lab,20,Tower,TWR-210,Newburgh
Lab,20,Bio-Tech,BT-357,Middletown
Classroom,20,Bio-Tech,BT-358,Middletown
Lab,25,Bio-Tech,BT-121,Middletown
Lab,20,Bio-Tech,BT-113,Middletown
Asynchronous,25,TBA,TBA,Middletown
Asynchronous,25,TBA,TBA,Newburgh
Classroom,25,Bio-Tech,BT-251,Middletown
